,CustomerID,frequency,recency,T,monetary_value,p_not_alive,p_alive,predicted_purchases,actual30,error,expected_avg_sales_,predicted_clv,profit_margin,scaled_clv,segment
1,12347.0,6.0,365.0,367.0,599.7016666666667,3.375077994860476e-14,0.9999999999999662,0.47078691592143823,0.4931506849315068,0.02236376901006859,691.7653370158598,8423.467628026701,421.17338140133506,0.0019883831715409228,B
2,12348.0,3.0,283.0,358.0,301.48,2.0323742688788116e-12,0.9999999999979676,0.26992481337192825,0.3180212014134276,0.04809638804149935,411.0022832183895,2837.9335667953665,141.89667833976833,0.0006595524644638673,D
5,12352.0,6.0,260.0,296.0,368.25666666666666,1.0531575611594235e-12,0.9999999999989468,0.5623711406184759,0.6923076923076923,0.12993655168921636,424.85880269857824,6200.00591829886,310.000295914943,0.0014594088311275259,B
9,12356.0,2.0,303.0,325.0,269.90500000000003,4.4297898682543746e-13,0.999999999999557,0.21638707942861884,0.19801980198019803,-0.018367277448420816,449.55485138436404,2469.1152268029155,123.45576134014578,0.0005718084582251672,D
11,12358.0,1.0,149.0,150.0,683.2,2.886579864025407e-14,0.9999999999999711,0.2523170752098926,0.20134228187919462,-0.05097479333069799,3372.8770758431233,21501.949635685494,1075.0974817842748,0.005099829329278711,A
12,12359.0,3.0,274.0,331.0,1941.6933333333334,1.4763745781465332e-12,0.9999999999985236,0.28814591757032026,0.3284671532846716,0.04032123571435131,2644.7808053807285,19517.26502498219,975.8632512491095,0.004627661435277108,A
13,12360.0,2.0,148.0,200.0,789.24,1.901589996577968e-12,0.9999999999980984,0.3169483742841165,0.40540540540540543,0.08845703112128894,1313.074893914275,10655.343823703373,532.7671911851687,0.0025193593666007143,A
15,12362.0,9.0,292.0,295.0,527.4588888888889,6.061817714453355e-14,0.9999999999999394,0.8111865598907445,0.9246575342465753,0.11347097435583076,578.8316635161709,12238.743847888421,611.9371923944211,0.0028960593474186276,A
16,12363.0,1.0,133.0,242.0,252.9,4.2514880504995745e-12,0.9999999999957485,0.17767044043869393,0.22556390977443608,0.04789346933574215,1251.4225253099014,5561.815825075392,278.0907912537696,0.0013075797341188936,B
17,12364.0,3.0,105.0,112.0,229.7266666666667,2.5157653738006047e-13,0.9999999999997484,0.6368364316326458,0.8571428571428571,0.2203064255102113,313.2826441713011,5225.089867019056,261.2544933509528,0.0012274706902870925,C
20,12370.0,3.0,309.0,360.0,651.6233333333333,1.1657341758564144e-12,0.9999999999988343,0.26866634669001355,0.2912621359223301,0.022595789232316532,887.8565080824286,6101.499922870173,305.07499614350866,0.0014359736877514644,B
21,12371.0,1.0,15.0,59.0,360.0,3.0409008644483038e-12,0.9999999999969591,0.4317350339405749,2.0,1.568264966059425,1779.4443295444078,19889.684674779055,994.4842337389528,0.004716262213849722,A
22,12372.0,2.0,225.0,296.0,449.41,2.0552448631860898e-12,0.9999999999979448,0.23358069702146544,0.26666666666666666,0.03308596964520122,748.0253285028552,4441.416693627538,222.0708346813769,0.0010410303310127277,C
25,12375.0,1.0,88.0,98.0,227.20000000000002,3.750333377183779e-13,0.999999999999625,0.33089505234767896,0.34090909090909094,0.010014038561411975,1124.7170129959256,9503.265412771383,475.1632706385692,0.0022452732805390576,B
26,12377.0,1.0,39.0,354.0,626.6,3.535638448681766e-11,0.9999999999646436,0.13062479676237435,0.7692307692307692,0.6386059724683948,3093.8291382177913,10046.399298076942,502.3199649038471,0.002374487958479628,A
28,12379.0,1.0,89.0,170.0,392.4,3.737676834703052e-12,0.9999999999962623,0.23120038824278735,0.33707865168539325,0.1058782634426059,1939.1820182203928,11295.555761156378,564.777788057819,0.0026716694719905835,A
29,12380.0,3.0,164.0,185.0,705.7533333333332,6.59916565837193e-13,0.9999999999993401,0.4537899815568273,0.548780487804878,0.09499050624805067,961.5752304872259,11293.846822852538,564.6923411426269,0.002671262905730357,A
30,12381.0,4.0,115.0,119.0,144.14249999999998,1.3589129821411916e-13,0.9999999999998641,0.7727176164599986,1.0434782608695652,0.2707606444095666,180.30889678012306,3662.9974676544257,183.1498733827213,0.0008558399160742871,C
31,12383.0,4.0,168.0,352.0,312.46,2.086153472191654e-11,0.9999999999791385,0.34503524895119325,0.7142857142857142,0.36925046533452094,390.51970020984623,3466.2834006106277,173.3141700305314,0.000809040507112454,C
32,12384.0,1.0,93.0,121.0,292.58000000000004,1.0895728763671286e-12,0.9999999999989104,0.290833876924501,0.32258064516129037,0.03174676823678935,1447.051892182219,10688.400049581584,534.4200024790792,0.0025272236330299404,A
33,12386.0,1.0,29.0,366.0,143.0,4.4103609653234344e-11,0.9999999999558964,0.12702113962410796,1.0344827586206897,0.9074616189965817,709.596229461421,2239.5923286339757,111.97961643169879,0.0005172036394700256,D
34,12388.0,5.0,311.0,326.0,469.872,3.0886404545071855e-13,0.9999999999996911,0.44370226369343596,0.4823151125401929,0.03861284884675692,559.2155248075317,6412.902225159796,320.6451112579898,0.0015100580880971892,B
37,12393.0,3.0,260.0,332.0,373.3666666666666,2.079225680517993e-12,0.9999999999979208,0.2874273028033745,0.34615384615384615,0.05872654335047167,508.90350665467616,3745.9370264425493,187.29685132212748,0.000875571714563183,C
38,12394.0,1.0,154.0,217.0,891.4,2.050581926482664e-12,0.9999999999979494,0.19320247929637047,0.19480519480519481,0.0016027155088243483,4399.33963085362,21305.6958058286,1065.28479029143,0.005053139413393062,A
39,12395.0,10.0,352.0,371.0,267.253,4.0945025148175773e-13,0.9999999999995905,0.7392501033373672,0.8522727272727273,0.11302262393536011,290.5039498455273,5583.446063389447,279.17230316947234,0.0013127256923313076,B
40,12397.0,1.0,100.0,135.0,1195.09,1.3455903058456897e-12,0.9999999999986544,0.27087215605549597,0.3,0.029127843944504017,5896.584651656395,40455.67462109282,2022.783731054641,0.009609029613083001,A
42,12399.0,3.0,142.0,261.0,273.53333333333336,7.716494110354688e-12,0.9999999999922835,0.3492725742692991,0.6338028169014085,0.2845302426321094,372.9421952424168,3348.959172535485,167.44795862677427,0.0007811283978600055,C
47,12406.0,1.0,161.0,183.0,1794.05,6.401545959988653e-13,0.9999999999993598,0.21927215867239583,0.18633540372670807,-0.03293675494568776,8849.562614908496,48810.40328252747,2440.5201641263734,0.011596667656805485,A
48,12407.0,4.0,215.0,264.0,370.455,1.6289192217300297e-12,0.9999999999983711,0.43622282440471716,0.5581395348837209,0.12191671047900376,462.9493379177898,5219.096516021656,260.9548258010828,0.0012260448375832453,C
49,12408.0,3.0,228.0,260.0,683.6533333333333,8.555378627761456e-13,0.9999999999991445,0.35033427658239935,0.39473684210526316,0.04440256552286381,931.4776179776006,8390.508226446267,419.5254113223134,0.00198054194016952,B
50,12409.0,2.0,104.0,182.0,2432.795,4.058309244214797e-12,0.9999999999959417,0.3396800843570128,0.576923076923077,0.23724299256606418,4045.8825874073914,35255.57084005253,1762.7785420026266,0.008371894988446855,A
52,12412.0,2.0,95.0,169.0,356.19,4.000133557724439e-12,0.9999999999959999,0.35823605697953526,0.631578947368421,0.27334289038888576,593.0245325529611,5458.6531135779915,272.9326556788996,0.0012830367311830462,C
53,12413.0,2.0,271.0,337.0,139.425,1.6262546864709293e-12,0.9999999999983737,0.20999099435789986,0.22140221402214022,0.011411219664240357,232.60029382652027,1239.0821080649912,61.954105403249564,0.00027917649841927115,D
54,12414.0,2.0,93.0,310.0,204.325,2.226663298188214e-11,0.9999999999777334,0.22495179688988154,0.6451612903225807,0.4202094934326992,340.5122403739149,1945.6676731354842,97.28338365677422,0.00044727727190843603,D
55,12415.0,15.0,313.0,337.0,7860.21,7.311928840181281e-13,0.9999999999992688,1.1706433833040368,1.4376996805111821,0.2670562972071453,8301.448244717585,253738.8294452877,12686.941472264385,0.060350319940149846,A
56,12417.0,8.0,354.0,357.0,419.72,5.262457136723242e-14,0.9999999999999474,0.6226925538986027,0.6779661016949152,0.05527354779631255,466.30116488564374,7537.73387261368,376.886693630684,0.0017776620122775895,B
59,12421.0,3.0,304.0,319.0,216.53,3.0175861809311755e-13,0.9999999999996982,0.2970582416380142,0.29605263157894735,-0.0010056100590668526,295.31032925039506,2247.929129202551,112.39645646012755,0.0005191870123172512,D
60,12422.0,2.0,229.0,324.0,282.53,2.913891350431186e-12,0.9999999999970861,0.21693771895657174,0.26200873362445415,0.04507101466788241,470.54696733445417,2591.110296724068,129.5555148362034,0.0006008317876411376,D
61,12423.0,7.0,353.0,353.0,231.6257142857143,0.0,1.0,0.5575008062558937,0.5949008498583569,0.037400043602463184,261.5432855829542,3780.4233764884348,189.02116882442175,0.0008837762157646095,C
65,12427.0,2.0,350.0,371.0,261.15,3.794742298168785e-13,0.9999999999996205,0.1937634627315846,0.17142857142857143,-0.022334891303013166,434.99754642253896,2135.227419728336,106.76137098641681,0.0004923746268501399,D
66,12428.0,6.0,258.0,283.0,497.8733333333334,6.645795025406187e-13,0.9999999999993354,0.583142056974581,0.6976744186046512,0.11453236163007019,574.3350726104723,8697.333277778356,434.86666388891786,0.00205353738616286,B
67,12429.0,3.0,356.0,365.0,822.9666666666667,1.5787371410169726e-13,0.9999999999998421,0.2655709276363443,0.25280898876404495,-0.012761938872299372,1121.2060670314895,7614.850423931032,380.74252119655165,0.0017960084837682297,B
